"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"206","John Ursua (SEA)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"207","Austin Carr (NO)","1","4","9","9.0","9","0","0","0","0","0","0","7","1.4","0.2","0.0%"
"208","Dwayne Harris (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"209","Jaleel Scott (BAL)","1","3","6","6.0","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"210","Krishawn Hogan (FA)","1","1","4","4.0","4","0","0","0","0","0","0","8","0.9","0.1","0.0%"
"211","Cyril Grayson (TB)","1","1","3","3.0","3","0","0","0","0","0","0","2","0.8","0.4","0.0%"
"212","De'Mornay Pierson-El (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Saeed Blacknall (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Noah Brown (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Jordan Veasy (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Rico Gafford (LV)","2","2","66","33.0","49","1","1","0","0","0","0","4","0.0","0.0","0.0%"
"220","Artavis Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Brandon Powell (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Devin Gray (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Cam Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Codey McElroy (TB)","1","1","30","30.0","30","1","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Jehu Chesson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Travis Fulgham (DET)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"228","Johnnie Dixon (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","DaMarkus Lodge (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Davion Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"231","Lil'Jordan Humphrey (NO)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"232","Dillon Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Chad Hansen (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Antoine Wesley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Bryant Mitchell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","David Sills (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Gary Jennings Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"238","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Jon'Vea Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Hakeem Butler (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"242","Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"243","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Shawn Poindexter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Collin Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"247","Anthony Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Amara Darboh (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Reggie Davis (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Deante Burton (DAL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"251","Gehrig Dieter (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"252","Victor Bolden Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"253","JoJo Natson (CLE)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"254","Taquan Mizzell (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Justin Hardee (NO)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","22.0%"
"256","Chad Williams (IND)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"257","Riley McCarron (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"258","Isaac Whitney (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Marcus Kemp (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"260","Chris Thompson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Trent Taylor (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"262","Daurice Fountain (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"263","Chase Claypool (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5%"
"264","Emmanuel Butler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
