"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"23","Melvin Gordon (DEN)","162","612","3.8","24","2","8","42","55","296","7.0","1","3","12","159.8","13.3","97.4%"
"24","Raheem Mostert (SF)","137","772","5.6","41","3","8","14","22","180","12.9","2","2","16","158.2","9.9","94.4%"
"25","David Montgomery (CHI)","242","889","3.7","55","3","6","25","35","185","7.4","1","2","16","157.9","9.9","92.6%"
"26","Ronald Jones II (TB)","172","724","4.2","49","6","6","31","40","309","10.0","0","2","16","150.8","9.4","87.8%"
"27","Carlos Hyde (SEA)","245","1,070","4.4","58","8","6","10","16","42","4.2","0","2","16","148.2","9.3","13.9%"
"28","Sony Michel (NE)","247","912","3.7","26","3","7","12","20","94","7.8","0","1","16","146.6","9.2","77.0%"
"29","Latavius Murray (NO)","146","637","4.4","30","3","5","34","43","235","6.9","1","0","16","140.2","8.8","60.2%"
"30","Adrian Peterson (WAS)","211","898","4.3","32","6","5","17","23","142","8.4","0","2","16","138.5","8.7","21.8%"
"31","Devin Singletary (BUF)","151","775","5.1","38","7","2","29","41","194","6.7","2","1","12","133.4","11.1","94.6%"
"32","Duke Johnson (HOU)","83","410","4.9","40","3","2","44","62","410","9.3","3","1","16","132.0","8.3","38.7%"
"33","James Conner (PIT)","116","464","4.0","25","2","4","34","38","251","7.4","3","1","10","128.5","12.9","95.9%"
"34","Jamaal Williams (GB)","107","460","4.3","45","1","1","39","45","253","6.5","5","0","14","126.8","9.1","12.1%"
"35","Damien Williams (KC)","111","498","4.5","91","2","5","30","37","213","7.1","2","1","11","126.1","11.5","57.9%"
"36","Tevin Coleman (SF)","137","544","4.0","48","4","6","21","30","180","8.6","1","0","14","124.9","8.9","60.2%"
"37","Tarik Cohen (CHI)","64","213","3.3","19","0","0","79","104","456","5.8","3","0","16","124.4","7.8","79.3%"
"38","David Johnson (HOU)","94","345","3.7","18","0","2","36","47","370","10.3","4","1","13","123.5","9.5","95.2%"
"39","Royce Freeman (DEN)","132","496","3.8","26","1","3","43","50","256","6.0","1","0","16","120.7","7.5","7.9%"
"40","Peyton Barber (WAS)","154","470","3.1","17","0","6","16","24","115","7.2","1","1","16","108.5","6.8","1.4%"
"41","Jordan Howard (MIA)","119","525","4.4","20","1","6","10","14","69","6.9","1","0","10","106.4","10.6","81.8%"
"42","LeSean McCoy (TB)","101","465","4.6","39","4","4","28","34","181","6.5","1","2","13","104.6","8.0","10.1%"
"43","DeAndre Washington (KC)","108","387","3.6","36","1","3","36","41","292","8.1","0","0","16","103.9","6.5","4.9%"
"44","Nyheim Hines (IND)","52","199","3.8","18","0","2","44","58","320","7.3","0","1","16","95.9","6.0","22.6%"
"45","Matt Breida (MIA)","123","623","5.1","83","4","1","19","22","120","6.3","1","1","13","93.8","7.2","67.3%"
"46","Gus Edwards (BAL)","133","711","5.3","63","5","2","7","7","45","6.4","0","1","16","89.1","5.6","4.5%"
"47","Frank Gore (NYJ)","166","599","3.6","41","4","2","13","16","100","7.7","0","0","16","88.4","5.5","2.4%"
"48","Rex Burkhead (NE)","65","302","4.6","33","1","3","27","38","279","10.3","0","1","13","87.6","6.7","2.1%"
"49","Boston Scott (PHI)","61","245","4.0","25","1","5","24","26","204","8.5","0","1","11","84.9","7.7","43.0%"
"50","Kareem Hunt (CLE)","43","179","4.2","16","0","2","37","44","285","7.7","1","0","9","82.9","9.2","91.9%"
"51","Jaylen Samuels (PIT)","66","175","2.7","13","0","1","47","57","305","6.5","1","1","14","81.9","5.9","4.2%"
"52","Tony Pollard (DAL)","86","455","5.3","44","4","2","15","20","107","7.1","1","1","15","81.7","5.4","36.4%"
"53","Kerryon Johnson (DET)","113","403","3.6","20","1","3","10","15","127","12.7","1","1","8","80.0","10.0","83.8%"
"54","Chase Edmonds (ARI)","60","303","5.1","37","4","4","12","21","105","8.8","1","0","13","76.8","5.9","22.5%"
"55","Chris Thompson (JAC)","37","138","3.7","16","0","0","42","58","378","9.0","0","0","11","72.6","6.6","3.7%"
"56","Rashaad Penny (SEA)","65","370","5.7","58","4","3","8","11","83","10.4","1","1","10","71.3","7.1","12.6%"
"57","J.D. McKissic (WAS)","38","205","5.4","44","2","0","34","42","233","6.9","1","0","16","66.8","4.2","0.4%"
"58","Jalen Richard (LV)","39","145","3.7","13","0","0","36","43","323","9.0","0","0","16","64.8","4.1","2.2%"
"59","Alexander Mattison (MIN)","100","462","4.6","35","4","1","10","12","82","8.2","0","1","13","63.4","4.9","53.7%"
"60","Brian Hill (ATL)","78","323","4.1","27","2","2","10","14","69","6.9","1","0","12","62.2","5.2","1.0%"
"61","Darrel Williams (KC)","41","141","3.4","41","1","3","15","20","167","11.1","1","1","9","60.3","6.7","1.6%"
"62","Malcolm Brown (LAR)","69","255","3.7","17","0","5","2","6","16","8.0","0","0","14","58.1","4.2","5.6%"
"63","Dare Ogunbowale (TB)","11","17","1.5","12","0","2","35","46","286","8.2","0","1","16","57.8","3.6","1.6%"
"64","Patrick Laird (MIA)","62","168","2.7","18","0","1","23","30","204","8.9","0","0","15","56.7","3.8","1.1%"
"65","Benny Snell Jr. (PIT)","108","426","3.9","23","3","2","3","4","23","7.7","0","1","13","56.4","4.3","3.8%"
"66","Derrius Guice (WAS)","42","245","5.8","60","3","2","7","9","79","11.3","1","0","5","53.9","10.8","83.2%"
"67","Dion Lewis (NYG)","54","209","3.9","17","0","0","25","32","164","6.6","1","1","16","53.8","3.4","2.5%"
"68","Giovani Bernard (CIN)","53","170","3.2","25","1","0","30","43","234","7.8","0","1","16","53.4","3.3","5.1%"
"69","Jordan Wilkins (IND)","51","307","6.0","55","2","2","7","11","43","6.1","0","0","14","50.5","3.6","0.9%"
"70","Mike Boone (MIN)","49","273","5.6","59","3","3","3","4","17","5.7","0","0","16","48.5","3.0","1.6%"
"71","Ty Johnson (DET)","63","273","4.3","40","1","0","24","31","109","4.5","0","1","16","48.2","3.0","0.7%"
"72","Brandon Bolden (NE)","15","68","4.5","21","1","3","9","11","111","12.3","1","0","15","46.4","3.1","0.1%"
