"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"118","Patrick DiMarco (BUF)","3","7","2.3","4","0","0","5","7","41","8.2","0","0","16","7.3","0.5","0.0%"
"119","Dwayne Washington (NO)","8","60","7.5","31","1","0","1","1","6","6.0","0","0","16","7.1","0.4","0.0%"
"120","Jonathan Hilliman (FA)","30","91","3.0","10","0","0","3","4","1","0.3","0","2","3","6.7","2.2","0.0%"
"121","Devine Ozigbo (JAC)","9","27","3.0","9","0","0","3","5","23","7.7","0","0","10","6.5","0.7","0.1%"
"122","Brandon Wilson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","12","6.0","0.5","21.1%"
"123","Elijhaa Penny (NYG)","15","39","2.6","6","0","0","2","4","9","4.5","0","0","16","5.8","0.4","0.1%"
"124","Taiwan Jones (BUF)","9","40","4.4","11","0","0","1","1","9","9.0","0","0","11","5.4","0.5","0.0%"
"125","C.J. Anderson (FA)","16","43","2.7","9","0","0","0","0","0","0","0","0","2","4.3","2.2","0.6%"
"126","Paul Perkins (FA)","12","29","2.4","13","0","0","1","1","9","9.0","0","0","4","4.3","1.1","0.0%"
"127","Anthony Sherman (KC)","4","9","2.3","5","0","0","2","3","22","11.0","0","0","16","4.1","0.3","0.1%"
"128","Nick Bawden (DET)","0","0","0","0","0","0","4","6","17","4.3","0","0","10","3.7","0.4","0.0%"
"129","T.J. Logan (TB)","3","10","3.3","6","0","0","2","3","13","6.5","0","0","12","3.3","0.3","0.1%"
"130","Tyler Ervin (GB)","1","10","10.0","10","0","0","2","4","11","5.5","0","0","10","3.1","0.3","0.0%"
"131","Jay Ajayi (FA)","10","30","3.0","11","0","0","0","1","0","0","0","0","4","3.0","0.8","3.6%"
"132","Zach Zenner (FA)","3","-2","-0.7","1","0","0","2","3","19","9.5","0","0","6","2.7","0.5","0.0%"
"133","Dalyn Dawkins (TEN)","11","26","2.4","14","0","0","0","1","0","0","0","0","2","2.6","1.3","0.1%"
"134","Keith Smith (ATL)","5","8","1.6","3","0","0","1","4","13","13.0","0","0","16","2.6","0.2","0.0%"
"135","Samaje Perine (CIN)","5","16","3.2","9","0","0","0","0","0","0","0","0","7","1.6","0.2","0.1%"
"136","Roosevelt Nix (IND)","0","0","0","0","0","0","2","3","4","2.0","0","0","3","1.4","0.5","0.0%"
"137","Ricky Ortiz (FA)","0","0","0","0","0","0","1","1","8","8.0","0","0","2","1.3","0.7","0.0%"
"138","Josh Adams (NYJ)","8","12","1.5","10","0","0","0","0","0","0","0","0","2","1.2","0.6","0.1%"
"139","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","13.7%"
"140","Dexter Williams (GB)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","0.2%"
"141","Jakob Johnson (NE)","0","0","0","0","0","0","1","2","5","5.0","0","0","4","1.0","0.3","0.0%"
"142","Buddy Howell (HOU)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"143","Jordan Scarlett (CAR)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.1%"
"144","John Kelly (LAR)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.2%"
"145","Senorise Perry (TEN)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","0.9","0.1","0.0%"
"146","Josh Ferguson (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"147","Ryan Nall (CHI)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.1%"
"148","Tony Brooks-James (MIN)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"149","De'Lance Turner (FA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.0%"
"150","Alfred Morris (FA)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"151","James Develin (FA)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"152","Levante Bellamy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.8%"
"155","Isaac Nauta (DET)","0","0","0","0","0","0","2","3","13","6.5","0","0","6","0.0","0.0","0.0%"
"156","Rodney Anderson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"157","Damarea Crockett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Craig Reynolds (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"159","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7%"
"160","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"161","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.9%"
"162","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.1%"
"163","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.0%"
"164","D'Andre Swift (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.4%"
"165","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Michael Warren II (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"167","Adrian Killins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Derrick Gore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Benny LeMay (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","A.J. Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.9%"
